 [INFO] 2016-05-14 19:07:45,945 [START] Program Started
 [INFO] 2016-05-14 19:07:45,997 Starting new HTTP connection (1): 127.0.0.1
 [INFO] 2016-05-14 19:07:46,737 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.741s]
 [INFO] 2016-05-14 19:07:46,873 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.135s]
 [INFO] 2016-05-14 19:07:46,956 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:07:47,040 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:07:47,121 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.081s]
 [INFO] 2016-05-14 19:07:47,154 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.033s]
 [INFO] 2016-05-14 19:07:47,246 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.090s]
 [INFO] 2016-05-14 19:07:47,406 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.086s]
 [INFO] 2016-05-14 19:07:47,490 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:07:47,587 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.097s]
 [INFO] 2016-05-14 19:07:47,671 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:07:47,754 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:07:47,840 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.085s]
 [INFO] 2016-05-14 19:07:47,929 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.089s]
 [INFO] 2016-05-14 19:07:48,004 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.075s]
 [INFO] 2016-05-14 19:07:48,129 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.125s]
 [INFO] 2016-05-14 19:07:48,240 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.032s]
 [INFO] 2016-05-14 19:07:48,271 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.031s]
